date,Hole Depth (MD) m,Bit Depth (MD) m,Block Position m,Mud Flow In L/min,Average Standpipe Pressure kPa,Average Hookload kkgf,Average Surface Torque kN.m,Average Rotary Speed rpm,Weight on Bit kkgf,Rate of Penetration m/h
2007/7/6 19:23,376.0792707,376.0195299,40.6752552,2968.74343,407.8447163,105.9763008,0.004745363,89,-0.976470974,1.83301005
2007/7/6 19:23,376.0859382,376.0347318,40.6600152,2968.74343,408.1196448,105.9435287,0.005423272,89,-0.943698926,3.6660201
2007/7/6 19:24,376.0926057,376.0499337,40.6447752,2968.74343,408.3945732,105.9107567,0.006101181,89,-0.910926877,5.49903015
2007/7/6 19:24,376.0992732,376.0651356,40.6295352,2968.74343,408.6695017,105.8779846,0.00677909,89,-0.878154828,7.3320402
2007/7/6 19:24,376.1059407,376.0803375,40.6142952,2968.74343,408.9444301,105.8452126,0.007456999,89,-0.845382779,9.16505025
2007/7/6 19:24,376.1126082,376.0955394,40.5990552,2968.74343,409.2193585,105.8124405,0.008134908,89,-0.812610731,10.9980603
2007/7/6 19:24,376.1192757,376.1107413,40.5838152,2968.74343,409.494287,105.7796685,0.008812817,89,-0.779838682,12.83107035
2007/7/6 19:24,376.1259432,376.1259432,40.5685752,2968.74343,409.7692154,105.7468964,0.009490726,89,-0.747066633,14.6640804
2007/7/6 19:24,376.1607775,376.1607775,40.533828,2968.74343,409.497365,105.77314,0.009103349,89,-0.773245393,16.75894903
2007/7/6 19:24,376.1956118,376.1956118,40.4990808,2968.74343,409.2255145,105.7993835,0.008715973,89,-0.799424152,18.85381766
2007/7/6 19:24,376.2304461,376.2304461,40.4643336,2968.74343,408.9536641,105.8256271,0.008328596,89,-0.825602912,20.94868629
2007/7/6 19:24,376.2652803,376.2652803,40.4295864,2968.74343,408.6818137,105.8518706,0.00794122,89,-0.851781672,23.04355491
2007/7/6 19:24,376.3001146,376.3001146,40.3948392,2968.74343,408.4099633,105.8781142,0.007553843,89,-0.877960432,25.13842354
2007/7/6 19:24,376.3349489,376.3349489,40.360092,2968.74343,408.1381128,105.9043577,0.007166467,89,-0.904139191,27.23329217
2007/7/6 19:24,376.3697832,376.3697832,40.3253448,2968.74343,407.8662624,105.9306013,0.00677909,89,-0.930317951,29.3281608
2007/7/6 19:24,376.4007585,376.4007585,40.2943695,2968.74343,407.7145778,105.902025,0.006609613,89,-0.901798331,29.3487348
2007/7/6 19:24,376.4317338,376.4317338,40.2633942,2968.74343,407.5628931,105.8734487,0.006440135,89,-0.873278711,29.3693088
2007/7/6 19:25,376.4627091,376.4627091,40.2324189,2968.74343,407.4112085,105.8448724,0.006270658,89,-0.84475909,29.3898828
2007/7/6 19:25,376.4936844,376.4936844,40.2014436,2968.74343,407.2595238,105.8162961,0.006101181,89,-0.81623947,29.4104568
2007/7/6 19:25,376.5246597,376.5246597,40.1704683,2968.74343,407.1078391,105.7877197,0.005931704,89,-0.78771985,29.4310308
2007/7/6 19:25,376.555635,376.555635,40.139493,2968.74343,406.9561545,105.7591434,0.005762227,89,-0.75920023,29.4516048
2007/7/6 19:25,376.5866103,376.5866103,40.1085177,2968.74343,406.8044699,105.7305671,0.005592749,89,-0.730680609,29.4721788
2007/7/6 19:25,376.6175856,376.6175856,40.0775424,2968.74343,406.6527852,105.7019908,0.005423272,89,-0.702160989,29.4927528
2007/7/6 19:25,376.6529424,376.6529424,40.04214206,2968.74343,406.6498303,105.7400926,0.00561696,89,-0.740262748,29.53363954
2007/7/6 19:25,376.6882992,376.6882992,40.00674171,2968.74343,406.6468754,105.7781943,0.005810649,89,-0.778364507,29.57452629
2007/7/6 19:25,376.723656,376.723656,39.97134137,2968.74343,406.6439205,105.8162961,0.006004337,89,-0.816466266,29.61541303
2007/7/6 19:25,376.7590128,376.7590128,39.93594103,2968.74343,406.6409656,105.8543978,0.006198025,89,-0.854568025,29.65629977
2007/7/6 19:25,376.7943696,376.7943696,39.90054069,2968.74343,406.6380107,105.8924996,0.006391713,89,-0.892669784,29.69718651
2007/7/6 19:25,376.8297264,376.8297264,39.86514034,2968.74343,406.6350558,105.9306013,0.006585402,89,-0.930771543,29.73807326
2007/7/6 19:25,376.8650832,376.8650832,39.82974,2968.74343,406.6321009,105.9687031,0.00677909,89,-0.968873302,29.77896
2007/7/6 19:25,376.8959823,376.8959823,39.7988409,2968.74343,407.5516892,105.9684196,0.00677909,89,-0.968589807,29.7653964
2007/7/6 19:25,376.9268814,376.9268814,39.7679418,2968.74343,408.4712774,105.9681361,0.00677909,89,-0.968306312,29.7518328
2007/7/6 19:26,376.9577805,376.9577805,39.7370427,2968.74343,409.3908657,105.9678526,0.00677909,89,-0.968022816,29.7382692
2007/7/6 19:26,376.9886796,376.9886796,39.7061436,2968.74343,410.3104539,105.9675691,0.00677909,89,-0.967739321,29.7247056
2007/7/6 19:26,377.0195787,377.0195787,39.6752445,2968.74343,411.2300422,105.9672856,0.00677909,89,-0.967455826,29.711142
2007/7/6 19:26,377.0504778,377.0504778,39.6443454,2968.74343,412.1496304,105.9670021,0.00677909,89,-0.967172331,29.6975784
2007/7/6 19:26,377.0813769,377.0813769,39.6134463,2968.74343,413.0692187,105.9667186,0.00677909,89,-0.966888835,29.6840148
2007/7/6 19:26,377.112276,377.112276,39.5825472,2968.74343,413.9888069,105.9664351,0.00677909,89,-0.96660534,29.6704512
2007/7/6 19:26,377.1473715,377.1473715,39.54745166,2968.74343,413.0018716,105.9514018,0.006585402,89,-0.951571993,29.6497248
2007/7/6 19:26,377.1824671,377.1824671,39.51235611,2968.74343,412.0149364,105.9363684,0.006391713,89,-0.936538646,29.6289984
2007/7/6 19:26,377.2175626,377.2175626,39.47726057,2968.74343,411.0280011,105.9213351,0.006198025,89,-0.921505299,29.608272
2007/7/6 19:26,377.2526582,377.2526582,39.44216503,2968.74343,410.0410659,105.9063017,0.006004337,89,-0.906471952,29.5875456
